URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://rarelink.bih-charite.de/fhir/ValueSet/age-at-diagnosis-vs,2.0.0,draft,,AgeAtDiagnosisVS,Age at Diagnosis Value Set,"Value set for capturing age at diagnosis.",,"SCT"
https://rarelink.bih-charite.de/fhir/ValueSet/age-at-onset-vs,2.0.0,draft,,AgeAtOnsetVS,Age at Onset Value Set,"Value set for capturing age at onset.",,"SCT"
https://rarelink.bih-charite.de/fhir/ValueSet/age-category-vs,2.0.0,draft,,AgeCategoryVS,Age Category Value Set,"Value set for capturing the age category of a patient.",,"SCT"
https://rarelink.bih-charite.de/fhir/ValueSet/age-of-onset-vs,2.0.0,draft,,AgeOfOnsetVS,Age of Onset Value Set,"Value set for capturing the age of onset for phenotypes.",,"Other"
https://rarelink.bih-charite.de/fhir/ValueSet/agreement-to-be-contacted-vs,2.0.0,draft,,AgreementToBeContactedVS,Agreement to Be Contacted Value Set (ERDRI-CDS),"Value set for capturing agreement to be contacted for research.",,"SCT"
https://rarelink.bih-charite.de/fhir/ValueSet/clinical-significance-vs,2.0.0,draft,,ClinicalSignificanceVS,Clinical Significance Value Set,"LOINC LA codes for the clinical significance of a variant.",,"LOINC"
https://rarelink.bih-charite.de/fhir/ValueSet/consanguinity-vs,2.0.0,draft,,ConsanguinityVS,Consanguinity Value Set,"Value set for indicating whether there is consanguinity in the family relationship.",,"SCT"
https://rarelink.bih-charite.de/fhir/ValueSet/consent-to-reuse-vs,2.0.0,draft,,ConsentToReuseVS,Consent to Reuse Data Value Set (ERDRI-CDS),"Value set for capturing consent to reuse data.",,"SCT"
https://rarelink.bih-charite.de/fhir/ValueSet/dna-change-type-vs,2.0.0,draft,,DNAChangeTypeVS,DNA Change Type Value Set,"LOINC LA codes enumerating various DNA change types.",,"LOINC"
https://rarelink.bih-charite.de/fhir/ValueSet/encounter-class-vs,2.0.0,draft,,EncounterClassVS,Encounter Class Value Set,"Value set for encounter classes, including custom RareLink-specific codes.",,"SCT,FHIR,Other"
https://rarelink.bih-charite.de/fhir/ValueSet/family-relationship-vs,2.0.0,draft,,FamilyRelationshipVS,Family Relationship Value Set,"Value set for capturing family member relationships.",,"SCT"
https://rarelink.bih-charite.de/fhir/ValueSet/family-sex-vs,2.0.0,draft,,FamilySexVS,Family Member Sex Value Set,"Value set for capturing the sex of a family member.",,"SCT"
https://rarelink.bih-charite.de/fhir/ValueSet/genomic-source-class-vs,2.0.0,draft,,GenomicSourceClassVS,Genomic Source Class Value Set,"LOINC LA codes enumerating germline, somatic, fetal, etc.",,"LOINC"
https://rarelink.bih-charite.de/fhir/ValueSet/karyotypic-sex-vs,2.0.0,draft,,KaryotypicSexVS,Karyotypic Sex Value Set,"Value set for capturing karyotypic sex.",,"SCT"
https://rarelink.bih-charite.de/fhir/ValueSet/level-of-evidence-vs,2.0.0,draft,,LevelOfEvidenceVS,Level of Evidence Value Set,"LOINC LA codes describing evidence strength for a variant.",,"LOINC"
https://rarelink.bih-charite.de/fhir/ValueSet/phenotype-severity-vs,2.0.0,draft,,PhenotypeSeverityVS,Phenotype Severity Value Set,"Value set for capturing phenotype severity.",,"Other"
https://rarelink.bih-charite.de/fhir/ValueSet/phenotype-status-vs,2.0.0,draft,,PhenotypeStatusVS,Phenotype Status Value Set,"Value set for capturing phenotype status.",,"SCT"
https://rarelink.bih-charite.de/fhir/ValueSet/propositus-vs,2.0.0,draft,,PropositusVS,Propositus Value Set,"Value set for indicating whether the family member is the propositus.",,"SCT"
https://rarelink.bih-charite.de/fhir/ValueSet/reference-genome-vs,2.0.0,draft,,ReferenceGenomeVS,Reference Genome Value Set,"LOINC LA codes specifying the reference genome build.",,"LOINC"
https://rarelink.bih-charite.de/fhir/ValueSet/severity-vs,2.0.0,draft,,SeverityVS,Severity Value Set,"Value set for severity levels of conditions.",,"SCT"
https://rarelink.bih-charite.de/fhir/ValueSet/sex-at-birth-vs,2.0.0,draft,,SexAtBirthVS,Sex at Birth Value Set,"Value set for capturing the sex assigned at birth.",,"SCT"
https://rarelink.bih-charite.de/fhir/ValueSet/structural-variant-method-vs,2.0.0,draft,,StructuralVariantMethodVS,Structural Variant Method Value Set,"LOINC LA codes enumerating methods for detecting structural variants.",,"LOINC"
https://rarelink.bih-charite.de/fhir/ValueSet/temporal-pattern-vs,2.0.0,draft,,TemporalPatternVS,Temporal Pattern Value Set,"Value set for capturing the temporal pattern of phenotypic features.",,"Other"
https://rarelink.bih-charite.de/fhir/ValueSet/undiagnosed-rd-case-vs,2.0.0,draft,,UndiagnosedRDCaseVS,Undiagnosed Rare Disease Case Value Set,"Value set for capturing undiagnosed rare disease cases.",,"SCT,Other"
https://rarelink.bih-charite.de/fhir/ValueSet/vital-status-vs,2.0.0,draft,,VitalStatusVS,Vital Status Value Set,"Value set for capturing the vital status of the patient.",,"SCT"
https://rarelink.bih-charite.de/fhir/ValueSet/zygosity-vs,2.0.0,draft,,ZygosityVS,Zygosity Value Set,"LOINC LA codes enumerating various zygosity states.",,"LOINC"
